title,time,description,detail_url,image_url
Dragon Pendant,"Eastern Zhou dynasty, Warrring States period (c.480–221 B.C.)
4th/3rd century B.C.",,https://www.artic.edu/artworks/70115,
The Great Wall of China (Die Chinesische Mauer),1914,,https://www.artic.edu/artworks/200412,
The Kitchen,1858,,https://www.artic.edu/artworks/109184,"https://www.artic.edu/iiif/2/5e88980d-d9e5-d76c-e664-b7c5a9976611/full/843,/0/default.jpg"
Man's Boots,"Qing dynasty (1644–1911), 19th century",,https://www.artic.edu/artworks/15906,"https://www.artic.edu/iiif/2/036bca90-506b-0230-044f-8dcf85c877a0/full/843,/0/default.jpg"
"Bowl with Medallionsof Butterflies, Peonies, Chrysanthemums, Peaches, Plums and Orchidsf Butterflies","Qing dynasty (1644–1911), spurious reign mark of Yongzheng (1723–1735), overglaze painting perhaps added later",,https://www.artic.edu/artworks/5006,"https://www.artic.edu/iiif/2/c3de7a06-737e-a4af-d7f3-e0cb82a3626f/full/843,/0/default.jpg"
"Green Tara, Seated in Pose of Royal Ease (Lalitasana), with Lotus Stalks on Right Shoulder and Hands in Gestures of Reasoning (Vitarkamudra) and Gift Conferring (Varadamudra)","Ming dynasty (1368–1644), Yongle reign mark and period (1403–24)",,https://www.artic.edu/artworks/15722,"https://www.artic.edu/iiif/2/23bf4271-c10e-82df-ac26-6e1243c1bcf9/full/843,/0/default.jpg"
The Ancient Melody: Physical Exercises of China (Guyun yiyouhui: Zhonghua jianshen yundong),1998,,https://www.artic.edu/artworks/182878,"https://www.artic.edu/iiif/2/de3f922e-21e5-180e-dd9f-9074d2ede0ee/full/843,/0/default.jpg"
Cup,Qing dynasty (1644–1911),,https://www.artic.edu/artworks/12552,"https://www.artic.edu/iiif/2/5803a2eb-ddda-3a44-4bc6-bf288fd9c9e9/full/843,/0/default.jpg"
Mantle-cloth (cawng nak),1925/50,,https://www.artic.edu/artworks/182166,"https://www.artic.edu/iiif/2/43772140-b024-c5e1-a4a2-df9420cec381/full/843,/0/default.jpg"
Bell (nao),Western Zhou dynasty (1046–771 B.C.),,https://www.artic.edu/artworks/12086,"https://www.artic.edu/iiif/2/7942dae0-6fdd-e6a1-9a23-b64d5c08e8fc/full/843,/0/default.jpg"
Cup in the Shape of an Archaic Bronze Vessel with Lizards,"Qing dynasty (1644–1911), 18th/19th century",,https://www.artic.edu/artworks/18522,"https://www.artic.edu/iiif/2/ecefbe73-ced0-7589-4eab-908370fb18b0/full/843,/0/default.jpg"
Foliate Dish with Crane and Deer Amid Clouds,"Yuan dynasty (1279–1368), late 13th century",,https://www.artic.edu/artworks/12476,"https://www.artic.edu/iiif/2/0fa4cc9e-d625-df80-0b0d-ed3f13f718f2/full/843,/0/default.jpg"
Suspension Bell (Bo) 东周时期青铜镈,"Eastern Zhou dynasty (770–256 B.C.), first half of 5th century B.C.",,https://www.artic.edu/artworks/27925,"https://www.artic.edu/iiif/2/c1ac1941-e90c-2393-3e29-251a3b8fadfc/full/843,/0/default.jpg"
Foliate Cup and Stand,"Yuan dynasty (1279–1368), 14th century",,https://www.artic.edu/artworks/21653,"https://www.artic.edu/iiif/2/c038b5e0-c4b7-553c-17dc-a32ac4c3ac06/full/843,/0/default.jpg"
Wine Flask (Bian Hu),"Han dynasty (206 B.C.–A.D. 220), 1st century B.C./A.D.",,https://www.artic.edu/artworks/23497,"https://www.artic.edu/iiif/2/00c26e17-38d2-ee04-d8a3-01fb37a81d91/full/843,/0/default.jpg"
Bodhisattva,"Tang dynasty (A.D. 618–907), c. 725/50",,https://www.artic.edu/artworks/4450,"https://www.artic.edu/iiif/2/ddf01ec5-7166-d9b5-629e-ca04d4d3ef02/full/843,/0/default.jpg"
The China Sea Horse,1994,,https://www.artic.edu/artworks/212904,"https://www.artic.edu/iiif/2/7ceef5f1-1e06-1baa-4dba-58943bd5d3b4/full/843,/0/default.jpg"
Funerary Urn (Hunping),"Western Jin dynasty (A.D. 265–316), late 3rd century",,https://www.artic.edu/artworks/70003,"https://www.artic.edu/iiif/2/bf4060c6-8b68-d4f3-acb0-cfeaea86ad05/full/843,/0/default.jpg"
Mountain-Shaped Incense Burner,"Han dynasty (206 BCE–220 CE), 100 BCE–100 CE",,https://www.artic.edu/artworks/32631,"https://www.artic.edu/iiif/2/6276c0e8-e91a-c21b-ea8d-aa75b12a5c7a/full/843,/0/default.jpg"
Tea Bowl,"Song dynasty (960–1279), 12th/13th century",,https://www.artic.edu/artworks/12380,"https://www.artic.edu/iiif/2/288118db-838c-1cee-5731-d3d26b99d737/full/843,/0/default.jpg"
"Dish with Paired Dragons, Cloudscrolls, and Flaiming Pearl","Ming dynasty (1368–1644), Jiajing reign mark and period (1522–1566)",,https://www.artic.edu/artworks/21296,"https://www.artic.edu/iiif/2/37e28f84-f09c-8dbf-189d-d1f5c90a3f06/full/843,/0/default.jpg"
Plate,c. 1721/25,,https://www.artic.edu/artworks/7931,"https://www.artic.edu/iiif/2/954911c2-69f6-a9ff-e454-647d6462645d/full/843,/0/default.jpg"
Armored Guardian,"Tang dynasty (618–907), late 7th or early 8th century",,https://www.artic.edu/artworks/48991,"https://www.artic.edu/iiif/2/dca595d5-1fce-2bfe-99c3-aa8f41657854/full/843,/0/default.jpg"
The Major's Daughter,1862,,https://www.artic.edu/artworks/14474,"https://www.artic.edu/iiif/2/06c17b8b-3acf-2274-5587-29a7e6227e1f/full/843,/0/default.jpg"
"Mirror with ""TLV"" Pattern","Eastern Han dynasty (25–220 CE),
about 1st century",,https://www.artic.edu/artworks/10522,"https://www.artic.edu/iiif/2/7cdaae46-0eab-8df1-7a50-45ae63dbcc1d/full/843,/0/default.jpg"
The Stream in the Gorge,1871,,https://www.artic.edu/artworks/8056,"https://www.artic.edu/iiif/2/398ba733-b9ae-3879-73bf-e9867a210f13/full/843,/0/default.jpg"
"Tripod Cylindrical Jar (Lian or Zun) with Equestrians and Creatures, Bear-Shaped Feet",Eastern Han dynasty (A.D. 25–220),,https://www.artic.edu/artworks/12123,"https://www.artic.edu/iiif/2/6219aab6-c16c-b8b2-9416-94688e827f64/full/843,/0/default.jpg"
"Elsa, called The Viennese",1897,,https://www.artic.edu/artworks/8636,"https://www.artic.edu/iiif/2/50fea7b5-ff4f-e856-cdc8-543962702390/full/843,/0/default.jpg"
